sale_date,sale_price,square_ft,lat,long
1/1/18,869000,2874,33.7637517,-84.367143
1/2/18,488000,3202,34.0191054,-84.2053785
1/2/18,506000,3242,34.1287511,-84.2619341
1/2/18,1048000,5672,34.0890317,-84.2248744
1/2/18,293000,1560,34.0190767,-84.3665064
1/2/18,242000,889,33.8491264,-84.3526704
1/2/18,675000,3270,33.9285678,-84.384492
1/2/18,250000,1909,33.971616,-84.3496495
1/2/18,245000,1827,33.9753241,-84.3558686
1/2/18,150990,1780,33.5804916,-84.5246065
1/2/18,180000,2602,33.7639129,-84.4499471
1/2/18,572500,3379,33.9631635,-84.2841465
1/2/18,784500,5687,34.1084659,-84.344633
1/2/18,577500,4128,34.073846,-84.2847109
1/2/18,239900,637,33.7729713,-84.3618244
1/2/18,269400,3124,33.6487619,-84.6189477
1/2/18,228639,2432,33.6500615,-84.5312499
1/2/18,389900,2588,33.7849264,-84.4481363
1/3/18,307525,1391,33.8500877,-84.3593069
1/3/18,319000,2661,33.7916347,-84.4436658
1/3/18,114000,1600,33.741733,-84.506441
1/3/18,520000,2058,33.7897366,-84.3622351
1/3/18,370000,2428,34.0894639,-84.2303906
1/3/18,702500,2374,33.8719043,-84.400727
1/3/18,395000,2709,34.0471791,-84.1178879
1/3/18,299900,1632,33.7346993,-84.4420204
1/3/18,128000,1102,33.989731,-84.3374734
1/3/18,162000,1194,33.7292933,-84.3705289
1/3/18,190000,720,33.7833722,-84.3868793
1/3/18,444825,1746,33.8215316,-84.3617496
1/3/18,399826,1746,33.8217849,-84.3618658
1/3/18,477706,1905,33.88535,-84.379359
1/3/18,148000,1325,33.687067,-84.3839993
1/3/18,436000,1873,34.0327097,-84.3609749
1/3/18,228000,910,33.7125669,-84.4087104
1/3/18,441057,2976,33.7168723,-84.3531097
1/3/18,258000,1058,33.7427446,-84.3771321
1/3/18,237500,2018,33.7069557,-84.3980991
1/3/18,374900,1470,34.0533274,-84.2155905
1/3/18,354000,2477,34.0522958,-84.1469969
1/3/18,574666,3100,34.0488322,-84.1562297
1/3/18,341000,861,33.7777998,-84.383904
1/3/18,363000,1846,33.895292,-84.3825212
